timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1623577042916,0,67,1.4721679687500002E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042917,0,53,1.1645507812500002E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042931,0,60,1.318359375E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042950,0,58,1.2744140625E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042951,0,26,5.712890625E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042952,0,-328,-7.207031249999999E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042965,0,-313,-6.87744140625E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042966,0,-312,-6.85546875E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042967,0,-347,-7.62451171875E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042968,0,-378,-8.3056640625E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042969,0,-379,-8.32763671875E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042980,0,-330,-7.2509765625E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042981,0,-327,-7.18505859375E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042982,0,-268,-5.8886718750000006E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042998,0,-269,-5.9106445312499996E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042999,0,-262,-5.7568359375E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043000,0,27,5.9326171875000005E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043018,0,66,1.4501953125E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043019,0,68,1.4941406250000001E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043020,0,49,1.07666015625E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043021,0,51,1.1206054687499999E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043033,0,59,1.29638671875E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043034,0,92,2.021484375E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043048,0,102,2.2412109374999998E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043049,0,107,2.35107421875E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043069,0,114,2.5048828125000003E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043070,0,115,2.52685546875E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043071,0,89,1.95556640625E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043072,0,99,2.1752929687500003E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043081,0,102,2.2412109374999998E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043082,0,87,1.91162109375E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043098,0,102,2.2412109374999998E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043099,0,113,2.48291015625E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043116,0,92,2.021484375E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043117,0,72,1.58203125E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043131,0,73,1.6040039062500002E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043132,0,88,1.93359375E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577043133,0,44,9.66796875E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
